mission,koi_id,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler, 12167361,179.096467,47.930945,0.112071,0
Kepler, 8607720,261.724300,3.997514,0.153583,0
Kepler, 1433962,133.924380,1.592633,0.231688,0
Kepler, 5956342,143.333950,17.029028,0.193542,1
Kepler, 5956342,132.172650,6.846192,0.147042,1
Kepler, 5956342,125.881000,67.832164,0.306583,1
Kepler, 5956342,166.261050,43.131215,0.133250,1
Kepler, 5956656,133.208240,1.224866,0.071192,1
Kepler, 2854914,149.762730,25.934064,0.192258,1
Kepler, 2854914,158.680610,83.446348,0.272333,1
Kepler, 3337425,139.797370,7.047100,0.121917,0
Kepler, 3116412,136.320160,12.992049,0.250729,1
Kepler, 3865567,133.100575,11.116202,0.175458,0
Kepler, 3544689,134.658644,1.922861,0.148892,0
Kepler, 4037164,134.184037,0.635445,0.077467,0
Kepler, 3443790,133.863028,1.665784,0.078942,0
Kepler, 3966912,156.350170,55.663917,0.981083,0
Kepler, 8394721,158.744665,52.090816,0.359950,1
Kepler, 11607193,266.048470,7.154861,0.320583,0
Kepler, 10227501,261.957910,2.002780,0.092958,0
Kepler, 2854698,260.869310,8.187394,0.126967,1
Kepler, 2854698,161.714450,76.049816,0.298250,1
Kepler, 8559644,141.354720,3.341799,0.121892,1
Kepler, 6032981,134.444000,3.322695,0.148667,0
Kepler, 5866099,133.626810,36.977088,0.197375,0
Kepler, 5964985,133.179950,1.851409,0.426333,0
Kepler, 6066416,134.212010,1.303860,0.117663,0
Kepler, 1996679,146.058800,145.562493,0.225525,0
Kepler, 2849805,135.108370,3.749106,0.082608,1
Kepler, 3114811,141.761420,11.089566,0.261987,1
Kepler, 3003992,139.104970,7.244761,0.096437,0
Kepler, 3554031,363.056380,8.707983,0.103767,1
Kepler, 3554031,352.996740,4.176343,0.097292,1
Kepler, 8394721,133.628400,27.402299,0.285379,1
Kepler, 7295235,261.841607,3.179267,0.042692,1
Kepler, 2302548,268.024210,10.381224,0.113125,1
Kepler, 2302548,135.872090,24.570902,0.149458,1
Kepler, 10743597,184.261640,81.221876,0.171396,0
Kepler, 10743597,132.835239,0.817026,0.086662,0
Kepler, 9818381,132.416857,3.024093,0.116754,1
Kepler, 6124941,136.201739,5.670156,0.039004,0
Kepler, 6060203,133.454220,1.022679,0.057133,1
Kepler, 5880320,140.212580,12.109687,0.264421,1
Kepler, 5880320,137.696360,4.757961,0.194167,1
Kepler, 5880320,147.438940,20.497276,0.355667,1
Kepler, 3003992,139.816090,13.554805,0.095333,0
Kepler, 6307537,172.386652,29.744547,0.970175,0
Kepler, 6359798,140.698466,14.154024,0.186250,0
Kepler, 6311681,134.216987,0.844786,0.147038,0
Kepler, 6365321,133.585301,0.848484,0.060213,0
Kepler, 6301035,143.284370,11.990976,0.239171,0
Kepler, 3859079,147.864640,53.529270,0.236167,1
